SPJ     	Solution	Equal

NINY    	NINY    	true
27      	27      	true
176     	176     	true
1000    	1000    	true
322.831 	322.8   	true
TOO     	TOO     	true
TOO     	TOO     	true
TOO     	TOO     	true
TOO     	TOO     	true
HEAVY   	HEAVY   	true
NICK    	NICK    	true
21      	21      	true
181     	181     	true
65      	65      	true
19.8407 	19.8    	true
NORMAL  	NORMAL  	true
JUDY    	JUDY    	true
21      	21      	true
169     	169     	true
57      	57      	true
19.9573 	20      	true
NORMAL  	NORMAL  	true
